mean_fit_time,mean_score_time,mean_test_accuracy,mean_test_r2,mean_test_roc_auc,mean_train_accuracy,mean_train_r2,mean_train_roc_auc,param_LightGbm__learning_rate,param_LightGbm__n_estimators,param_LightGbm__n_jobs,param_LightGbm__objective,params,rank_test_accuracy,rank_test_r2,rank_test_roc_auc,split0_test_accuracy,split0_test_r2,split0_test_roc_auc,split0_train_accuracy,split0_train_r2,split0_train_roc_auc,split1_test_accuracy,split1_test_r2,split1_test_roc_auc,split1_train_accuracy,split1_train_r2,split1_train_roc_auc,split2_test_accuracy,split2_test_r2,split2_test_roc_auc,split2_train_accuracy,split2_train_r2,split2_train_roc_auc,split3_test_accuracy,split3_test_r2,split3_test_roc_auc,split3_train_accuracy,split3_train_r2,split3_train_roc_auc,split4_test_accuracy,split4_test_r2,split4_test_roc_auc,split4_train_accuracy,split4_train_r2,split4_train_roc_auc,std_fit_time,std_score_time,std_test_accuracy,std_test_r2,std_test_roc_auc,std_train_accuracy,std_train_r2,std_train_roc_auc
66.31709294319153,23.301940059661867,0.9444488835927919,0.7777955326949841,0.9530465661525849,0.9444488832602124,0.7777955313646665,0.9530585972800628,,,,,{},1,1,1,0.9440497489968559,0.7761989942992208,0.9536603923632452,0.9445486681084273,0.7781946707605313,0.9529013712722504,0.9462384269311609,0.78495370610248,0.954599926984989,0.9440014938725171,0.77600597380038,0.9526814660411911,0.9431117441678681,0.7724469749549668,0.9515864386830024,0.9447831713523889,0.7791326837434533,0.9534205163042446,0.9451614584238045,0.7806458320405588,0.9536472778455313,0.9442707383378063,0.7770829516696608,0.9529225733536563,0.9436830128372158,0.7747320496494763,0.9517387494514025,0.9446403446299223,0.7785613768493067,0.9533670594289717,1.458121822235622,0.8225360527311405,0.0011175025314161854,0.004470010159399608,0.0011826168398613524,0.0002793764049439112,0.0011175056282095475,0.00028690931486963667
108.92762036323548,16.686712646484374,0.9490625097709515,0.7962500375468332,0.981372378813525,0.9633802105689601,0.8535208411708851,0.9920487787313865,0.33666666666666667,75,7,binary,"{'LightGbm__objective': 'binary', 'LightGbm__n_jobs': 7, 'LightGbm__n_estimators': 75, 'LightGbm__learning_rate': 0.33666666666666667}",4,4,4,0.947975472910768,0.7919018900733208,0.9810062666852699,0.9634652631213251,0.8538610513829078,0.9920515661655527,0.9502857440636454,0.8011429747545389,0.9812679016757416,0.9631569347820422,0.8526277380164733,0.9920141732693898,0.948965589119144,0.7958623549367,0.9818281641072585,0.9632915570146868,0.8531662269511138,0.9920642161589398,0.9489482186593479,0.7957928730969916,0.9813462924803409,0.9635086896479845,0.8540347574908563,0.9921065352316026,0.9491375267080098,0.7965501052972446,0.9814132705396301,0.9634786082787611,0.8539144320130742,0.9920074028314475,0.19060686415882946,0.6477414502592602,0.0007356702370838922,0.002942680970530965,0.0002664765789538004,0.00013500699938441698,0.0005400280016141284,3.603165378296891e-05
132.90746202468873,7.91675591468811,0.9473115552575536,0.7892462194404085,0.9809094529581118,0.9507031610689778,0.8028126427884426,0.9875320006077869,0.17333333333333334,50,7,binary,"{'LightGbm__objective': 'binary', 'LightGbm__n_jobs': 7, 'LightGbm__n_estimators': 50, 'LightGbm__learning_rate': 0.17333333333333334}",6,6,6,0.9472980249787212,0.789192098324693,0.9807366840508495,0.9508845983480549,0.8035383919102208,0.9875786519147307,0.9487571436015911,0.7950285728601991,0.9813997504939469,0.9504069065548,0.801627624722787,0.987585136191433,0.9463773906095294,0.7855095608201473,0.9808604657388872,0.9507630040734082,0.803052014807965,0.9873919783848958,0.9474543591168858,0.7898174348820686,0.9807389313573083,0.9507412908100784,0.8029651617539907,0.9874549487914663,0.9466708357218545,0.7866833412781902,0.9808114297441509,0.9507200055585472,0.8028800207472492,0.9876492877564086,31.57406860019552,2.885795700288989,0.000823832033959235,0.0032953281607120168,0.0002495309651260366,0.00015874824255667354,0.0006349929750173465,9.412673926408544e-05
171.71178288459777,19.802322769165038,0.9496635318559076,0.798654125904792,0.9816798969902653,0.9614112553654348,0.8456450202973734,0.9914319314220947,0.2822222222222222,75,7,binary,"{'LightGbm__objective': 'binary', 'LightGbm__n_jobs': 7, 'LightGbm__n_estimators': 75, 'LightGbm__learning_rate': 0.2822222222222222}",2,2,3,0.9493303687748614,0.7973214735705765,0.9811149822473532,0.961458957589654,0.845835829195686,0.9914064219340919,0.9510674147544685,0.8042696575414172,0.9817981465138422,0.960989951101731,0.843959803229842,0.9914759027931461,0.9492435164758811,0.7969740643720344,0.9820264991611816,0.9616717475702858,0.8466869891246338,0.9913518548586485,0.9497298893501711,0.7989195558838699,0.9817120403996086,0.9614806708529838,0.8459226822496604,0.9914556922986277,0.9489464450118992,0.7957857785070361,0.9817478189890134,0.9614549497125189,0.8458197976870447,0.9914697852259597,27.611173904435674,4.052202643405254,0.000745240369286285,0.0029809614996520795,0.0003029502620418171,0.0002255467488027157,0.0009021870020173217,4.6891281032466614e-05
146.94575901031493,15.262046384811402,0.9494238178451447,0.7976952698545077,0.9819230621339354,0.9556815692670082,0.822726275730781,0.9896838120930085,0.17333333333333334,75,7,binary,"{'LightGbm__objective': 'binary', 'LightGbm__n_jobs': 7, 'LightGbm__n_estimators': 75, 'LightGbm__learning_rate': 0.17333333333333334}",3,3,2,0.9494172210738419,0.7976688827691185,0.9817522348394601,0.9559437887038919,0.8237751534862237,0.9896756078142799,0.9511368965936529,0.8045475849002508,0.9822536834988256,0.9553879291626497,0.8215517153044826,0.9897813457517898,0.9485139571644462,0.7940558271042815,0.9819268524824132,0.9553488452886562,0.821395379807329,0.9896341447726551,0.9493477392346575,0.7973909554102849,0.9818555143820529,0.955930760745894,0.8237230416538391,0.9896081961243637,0.9487032501259403,0.7948129989558617,0.9818270221304072,0.9557965224339489,0.8231860884020311,0.9897197660019547,16.494118029894846,7.040575924673729,0.0009260179609220788,0.003704071871646064,0.0001745244607442507,0.00026115107255251455,0.0010446042980920567,6.173722666011081e-05
115.66334457397461,13.374737405776978,0.9488193216440907,0.7952772850320515,0.9812296764599105,0.9542762895346643,0.8171051567590035,0.9885229627577674,0.22777777777777777,50,7,binary,"{'LightGbm__objective': 'binary', 'LightGbm__n_jobs': 7, 'LightGbm__n_estimators': 50, 'LightGbm__learning_rate': 0.22777777777777777}",5,5,5,0.9486702913026108,0.7946811636616571,0.9808449771869067,0.9542935806908291,0.8171743213841798,0.9886073554570004,0.9502683736038493,0.8010734929148304,0.9814982807610746,0.9540069656148762,0.8160278610717195,0.9884824320293558,0.9481491775087286,0.7925967084704049,0.9813594510510548,0.9543934617021461,0.8175738454324615,0.9885247165530043,0.9490350709583283,0.7961402822955337,0.9810580114596069,0.9544282029234737,0.8177128103188203,0.9885465731798208,0.9479736654680633,0.7918946603023386,0.981387667329657,0.9542592367419965,0.8170369455878371,0.9884537365696556,18.003244751480686,7.655065691754734,0.0008164233256835736,0.003265693327390986,0.00024141847097576604,0.00014827821830685456,0.0005931128777010429,5.313691857298955e-05
134.5438618183136,11.232276010513306,0.944768502273809,0.7790740074286966,0.9795476472419369,0.945313938298374,0.7812557515434149,0.9849141741066993,0.06444444444444444,75,7,binary,"{'LightGbm__objective': 'binary', 'LightGbm__n_jobs': 7, 'LightGbm__n_estimators': 75, 'LightGbm__learning_rate': 0.06444444444444444}",9,9,9,0.944310305893797,0.7772412218948469,0.9791957221848084,0.9453737721149587,0.7814950868115532,0.9849802076417175,0.9465510952074901,0.7862043792172314,0.9801850680766215,0.9448787097110399,0.7795148371809401,0.9848461550519052,0.9435460056627699,0.774184020947677,0.9796037410695789,0.9455822194429245,0.7823288761297063,0.9848357923088802,0.9454567562403376,0.7818270233156017,0.9794347827284444,0.9453042896723034,0.7812171570388357,0.9849418263269175,0.9439783209130231,0.7759132819616167,0.9793189142038341,0.9454307005506436,0.7817228005560393,0.9849668892040766,11.10580517683034,5.345541251558651,0.0010936342550291903,0.004374537053132336,0.0003459371691161105,0.00023609544718242975,0.0009443817958565413,6.11134233469657e-05
137.1057828426361,20.288431072235106,0.9444488835927919,0.7777955326949841,0.9698808588890827,0.944451488851812,0.7778059537311434,0.9725322255655187,0.01,75,7,binary,"{'LightGbm__objective': 'binary', 'LightGbm__n_jobs': 7, 'LightGbm__n_estimators': 75, 'LightGbm__learning_rate': 0.01}",10,10,10,0.9440497489968559,0.7761989942992208,0.9698182288981658,0.9445486681084273,0.7781946707605313,0.9730794513472794,0.9462384269311609,0.78495370610248,0.9710214702083068,0.9440014938725171,0.77600597380038,0.9722408107591142,0.9431117441678681,0.7724469749549668,0.9691780851016432,0.9447831713523889,0.7791326837434533,0.9724197538338232,0.9451614584238045,0.7806458320405588,0.9697318132060015,0.9442837662958041,0.7771350635020453,0.9722088259906587,0.9436830128372158,0.7747320496494763,0.9696546891739531,0.9446403446299223,0.7785613768493067,0.9727122858967179,6.03761454997333,10.501197841495033,0.0011175025314161854,0.004470010159399608,0.0006119127847176751,0.0002777588634824545,0.0011110354623148776,0.0003268141808236335
153.06463594436644,16.68806414604187,0.9501255892969431,0.8005023556828764,0.982374854816768,0.9592512237312562,0.837004893695483,0.9911686921516785,0.17333333333333334,100,7,binary,"{'LightGbm__objective': 'binary', 'LightGbm__n_jobs': 7, 'LightGbm__n_estimators': 100, 'LightGbm__learning_rate': 0.17333333333333334}",1,1,1,0.9498514825687436,0.7994059287618287,0.9822385365084602,0.9592528900353492,0.8370115589119012,0.9912049870738298,0.9515711580885546,0.806284630892961,0.9826372656414503,0.9591703796346961,0.836681517306799,0.991191254670382,0.9497646302697632,0.7990585195632867,0.9824089492020561,0.9592138061613557,0.8368552234147475,0.9911323642911968,0.9498688530285396,0.7994754106015372,0.9822644469139711,0.9593527710466662,0.8374110829601827,0.9911591487540725,0.9495718032900794,0.7982872116386274,0.982325074088474,0.959266271778214,0.8370650858837854,0.9911557059689112,16.791360030999968,5.303150568637944,0.0007304375925799012,0.0029217503923752637,0.0001437172269263775,6.078967023998016e-05,0.00024315868279525577,2.609911665985767e-05
141.47502593994142,14.248337268829346,0.9455744972085477,0.7822979871919714,0.9807561348621825,0.9471135304477265,0.7884541201951256,0.9867565917646337,0.06444444444444444,100,7,binary,"{'LightGbm__objective': 'binary', 'LightGbm__n_jobs': 7, 'LightGbm__n_estimators': 100, 'LightGbm__learning_rate': 0.06444444444444444}",7,7,7,0.9451614584238045,0.7806458320405588,0.9804527063443901,0.9471846582766618,0.7887386315130066,0.9867662829855115,0.9473848772777015,0.789539507523235,0.981098998853456,0.9467677636207301,0.7870710528767009,0.9866977682164737,0.9442060831350206,0.7768243308565964,0.9809018996973926,0.947354021730634,0.789416085334006,0.9867207629240333,0.9462384269311609,0.78495370610248,0.9807297031590347,0.9470370080860193,0.7881480307459817,0.98677918032872,0.9448816162037278,0.7795264631516929,0.9805973607406804,0.9472242005245879,0.7888968005059322,0.9868189643684298,20.510804226962946,3.467131963278346,0.00111727772387939,0.00446911092924395,0.0002266189462793425,0.00020027653961881309,0.0008011061645214295,4.2984695720180393e-05
91.37059888839721,14.900932788848877,0.9454702737256073,0.7818810932570653,0.9798891631909155,0.9468390750858869,0.7873562987394858,0.9857336237943091,0.11888888888888888,50,7,binary,"{'LightGbm__objective': 'binary', 'LightGbm__n_jobs': 7, 'LightGbm__n_estimators': 50, 'LightGbm__learning_rate': 0.11888888888888888}",8,8,8,0.9450224947454359,0.7800899773228915,0.9794335926939821,0.9468850152427108,0.7875400593681618,0.9857892433453915,0.9471764317601487,0.788705725446734,0.9805914032919448,0.9463508689647985,0.785403474240395,0.9858346859356081,0.9441192308360402,0.7764769216580544,0.9798084535495647,0.9470283227806874,0.788113289524392,0.9856627028277428,0.9461689450919766,0.7846757787436465,0.9798075592133209,0.946871987284713,0.7874879475357773,0.9856085310292327,0.9448642451404451,0.7794569788980377,0.9798048042750591,0.9470591811565252,0.7882367230287024,0.9857729558335703,18.30301749618111,5.599749430775834,0.0010763120322467641,0.004305248161475983,0.00037973150553819574,0.00025526468609187456,0.0010210587520746266,8.429956530390173e-05
